client_id;metadata_date_conversation;metadata_duration;metadata_language;identite_genre;identite_age;identite_statut_relationnel;identite_profession;localisation_europe;mobilite_rythme_vie_frequence_deplacement;lifestyle_centres_interet_sport_individuel;lifestyle_centres_interet_art_culture;style_personnel_couleurs_preferees;style_personnel_matieres_preferees;style_personnel_pieces_favorites;projet_achat_motif;projet_achat_budget;reseau_influence_influence;suivi_action;suivi_echeance;suivi_canal_contact;metadata_client_regime_alimentaire;metadata_client_allergies;lifestyle_centres_interet_voyage;localisation_moyen_orient_asie;localisation_amerique;lifestyle_centres_interet_sport_collectif;metadata_profile_version;identite_langue_parlee;identite_profession_secteur_tech_digital;lifestyle_centres_interet_sport_individuel_endurance;lifestyle_centres_interet_voyage_experience;style_personnel_couleurs_preferees_neutres_intemporelles;style_personnel_couleurs_preferees_metalliques;style_personnel_matieres_preferees_naturelles;style_personnel_matieres_preferees_alternatives;style_personnel_pieces_favorites_sacs;projet_achat_motif_role_offrir;preferences_contraintes_regime;preferences_contraintes_valeurs;identite_profession_secteur_entrepreneur_dirigeant;identite_profession_secteur_cadre_manager;identite_profession_secteur_mode_luxe;style_personnel_couleurs_preferees_tons_chauds;style_personnel_pieces_favorites_chaussures;style_personnel_pieces_favorites_accessoires;identite_profession_secteur_profession_liberale;identite_profession_secteur_art_creation;lifestyle_centres_interet_sport_individuel_bien_etre;lifestyle_centres_interet_sport_individuel_outdoor;style_personnel_couleurs_preferees_tons_froids;identite_profession_secteur_medias_communication;identite_profession_secteur_finance_investissement;lifestyle_centres_interet_musique_electronique;lifestyle_centres_interet_musique_classique_elegant;identite_profession_secteur_autres;projet_achat_motif_role_pour_soi;projet_achat_marques_preferees_louis_vuitton;identite_profession_secteur_sport;lifestyle_centres_interet_sport_individuel_raquette;lifestyle_centres_interet_musique_moderne_populaire
CA_001;2026-01-08;35 min;Français;Femme;36-45;VIP;Profession_libérale;Paris;Mobile;Golf;Art;Noir, Cognac;Cuir;Montres, Portefeuille, Sacs;Anniversaire;<5k;Réseau_affluent;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_002;2026-01-08;25 min;Anglais;Femme;36-45;Nouveau;;London;Mobile;Tennis;;Noir, Navy;Cuir;Sacs;Anniversaire;5-10k;;Rappeler;M+1;Email;Pescetarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_003;2026-01-09;45 min;Italien;Femme;56+;VIP;;;Mobile;Yoga;Art;Bordeaux, Cognac;Cuir;;Diplome;10-15k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_004;2026-01-09;20 min;Français;Femme;56+;Fidèle;Cadre;;Mobile;;Art;Noir;Cuir;Portefeuille;Anniversaire;;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_005;2026-01-10;55 min;Anglais;Femme;46-55;VIP;Profession_libérale;;Mobile;Golf;Musees, Art;Rose_gold, Beige, Cognac;Cuir;Sacs;Diplome;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;Aventure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_006;2026-01-10;30 min;Espagnol;Homme;;VIP;;Madrid;Mobile;;;;;Sacs;Anniversaire;25k+;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_007;2026-01-13;40 min;Allemand;Femme;46-55;Occasionnel;Entrepreneur;Berlin, Milan;Mobile;;Opera, Art;Navy, Cognac;Cuir;;Anniversaire;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_008;2026-01-13;25 min;Français;Femme;36-45;VIP;Entrepreneur;Paris;Mobile;Running;Art;;;;Anniversaire;10-15k;Réseau_affluent;Rappeler;M+1;Email;;gluten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_009;2026-01-14;50 min;Anglais;Femme;;VIP;Cadre;London;Mobile;Ski, Golf, Yoga;Art;;Cuir;Sacs;Diplome;25k+;Réseau_affluent;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_010;2026-01-14;35 min;Français;Femme;46-55;VIP;Profession_libérale;;Mobile;;Art;Bordeaux, Noir, Navy;Cuir;Sacs;Anniversaire;5-10k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_011;2026-01-15;30 min;Italien;Femme;26-35;Fidèle;Entrepreneur;;Mobile;;Art;;Cuir;;;15-25k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_012;2026-01-15;45 min;Espagnol;Femme;36-45;Nouveau;;Madrid;Mobile;;Art;Navy, Cognac;;Sacs;Anniversaire;10-15k;;Rappeler;M+1;Email;Végétarien;;Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_013;2026-01-16;20 min;Français;Femme;56+;Fidèle;;;Mobile;;Art;Noir;Cuir;;Cadeau;;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_014;2026-01-16;55 min;Anglais;Femme;;VIP;Entrepreneur;;Mobile;;Art;;Cuir;Sacs;Cadeau;25k+;Réseau_affluent;Rappeler;M+1;Email;Végane;;Luxe;Dubai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_015;2026-01-17;30 min;Allemand;Femme;;Nouveau;;Berlin;Mobile;Golf;Musees, Opera, Art;Rose_gold, Noir, Cognac, Navy;;;Mariage;10-15k;;Rappeler;M+1;Email;;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_016;2026-01-17;25 min;Français;Femme;36-45;Fidèle;;Berlin;Mobile;Running;Art;Noir, Navy;Cuir;Montres, Sacs;;<5k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_017;2026-01-20;40 min;Italien;Femme;56+;VIP;Entrepreneur;Milan;Mobile;;Opera, Art;Beige, Noir, Cognac;;;Cadeau;15-25k;Réseau_affluent;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_018;2026-01-20;35 min;Anglais;Femme;;VIP;;;Mobile;Tennis, Running;Art;Bordeaux;Cuir;Sacs;Anniversaire;10-15k;Réseau_affluent;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_019;2026-01-21;50 min;Français;Femme;46-55;VIP;Entrepreneur;;Mobile;;Art;Gris, Cognac, Bordeaux, Beige, Navy;Cuir;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;fruits_coque;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_020;2026-01-21;30 min;Espagnol;Femme;36-45;VIP;Entrepreneur;;Mobile;Yoga;Art;;;Sacs;;10-15k;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_021;2026-01-22;25 min;Français;Femme;56+;Occasionnel;Profession_libérale;;Mobile;;Opera;Bordeaux, Navy;;;Anniversaire;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_022;2026-01-22;40 min;Anglais;Femme;;VIP;Artiste;London;Mobile;;Art;;;;Cadeau;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_023;2026-01-23;30 min;Allemand;Femme;;Régulier;;;Mobile;Yoga;Opera;Noir, Gris, Beige;;;Anniversaire;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_024;2026-01-23;50 min;Italien;Femme;36-45;VIP;Entrepreneur;Milan;Mobile;Tennis;Opera;Rose_gold, Noir, Cognac, Navy;;;Mariage;15-25k;Réseau_affluent;Rappeler;M+1;Email;;;Luxe, Aventure;;New_York;Football;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_025;2026-01-24;20 min;Français;Femme;36-45;Fidèle;;;Mobile;Running;;Noir;;Sacs;;;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_026;2026-01-24;45 min;Espagnol;Femme;;Fidèle;Entrepreneur;Madrid;Mobile;Golf;Art;Beige, Noir, Cognac;;;Mariage;15-25k;;Rappeler;M+1;Email;Pescetarien;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_027;2026-01-27;35 min;Anglais;Femme;;VIP;Entrepreneur;London;Mobile;Golf;Art;Rose_gold;;;Diplome;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;Luxe;Hong_Kong;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_028;2026-01-27;30 min;Français;Femme;26-35;VIP;Cadre;;Mobile;Yoga;Art;;;;Cadeau;10-15k;Réseau_affluent;Rappeler;M+1;Email;Pescetarien;latex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
